pano,pmes,conglome,vivienda,hogar,codperso,dominio,estrato,p101p,p103,p104,p105,p106,p107,p108,p110,p200n,p200i,p200a,p200b,p200c,p200d,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p205,p206,p207a,p207b,p208a,p208b1,p208b2,p208b3,p209,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209h,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p221a,p221b1,p221b2,p221b3,p222,ocu200,i211a,i212a,d211b,factor,toting,p200bb,p200dd,ingprinc,lintot01,linsub01,ingtrab,subemp01
2002,2,98,100,11,1,8,1,51101,1,1,2, ,1,33,1,1,2,20,1,26,1,29,5,1968,1, , , , , , , , , , , , , ,7,3,2, ,1, , , ,0,0,9,9,9,9,9,0,45,2,4,700,0, , ,0,0,1, , , , , , , , , , , , ,4,1,700, ,0,644.939191346413,700, , ,700,261.4118611,587.210880106404,700,3
2002,2,98,100,11,2,8,1,51102,2,1,2, ,2,32,2,2,2,20,1,26,1,30,9,1969,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1, , , ,4,4, , , ,610.893231129048, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,100,11,3,8,1,51103,3,1,2, ,1,11,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,561.121179659837, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,100,11,4,8,1,51104,3,1,2, ,1,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,561.121179659837, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,101,11,1,8,1,51101,1,1,2, ,1,33,1,1,1,20,1,26,1,27,5,1968,1, , , , , , , , , , , , , ,7,3,2, ,1, , , ,0,16,7,16,7,16,7,16,85,1,4,755,0, , ,0,0,1, , , , , , , , , , , , ,4,1,755, ,0,644.939191346413,755, , ,755,261.4118611,587.210880106404,755,3
2002,2,98,101,11,2,8,1,51102,2,1,2, ,2,30,2,2,2,20,1,26,1,5,12,1971,1, , , , , , , , , , , , , ,2,2,1,1,0,15,1,2002,0,8,8,8,8,8,8,8,56,1, , , ,80,0,0,0,1, , , , , , , , , , , , ,4,1, ,80, ,610.893231129048,80, , ,80,261.4118611,587.210880106404,80,2
2002,2,98,101,11,3,8,1,51103,3,1,2, ,1,8,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,561.121179659837, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,101,11,4,8,1,51104,3,1,2, ,1,3,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,561.121179659837, , , ,999999,261.4118611,587.210880106404,0, 
2002,2,98,103,11,1,8,1,51101,1,1,2, ,1,49,1,1,1,20,1,26,1,16,9,1952,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,4,12,1,1, , , ,4,2, , , ,494.305579873619, , , ,999999,261.4118611,587.210880106404,0,4
2002,2,98,103,11,2,8,1,51102,2,1,2, ,2,45,2,2,2,20,1,26,1,6,2,1956,2,2,2,0,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,3, , ,1,1, , , ,5,4, , , ,499.076854317311, , , ,999999,261.4118611,587.210880106404,0, 
